CODDISCIPLINA;COD_PRESTAZIONE;DESCR_PRESTAZIONE;ELENCO DI ORIGINE;NOTE
08;89_58_5;PLETISMOGRAFIA AD OCCLUSIONE VENOSA DEGLI ARTI SUPERIORI E INFERIORI A riposo o dopo prova fisica o farmacologica Escluso: Pletismografia di un arto (89_58_8);Allegato 1;
08;89_58_6;PLETISMOGRAFIA PENIENA A riposo o dopo prova fisica o farmacologica;Allegato 1;
08;89_58_7;PLETISMOGRAFIA DI ALTRI DISTRETTI A riposo o dopo prova fisica o farmacologica o durante blocco anestetico;Allegato 1;
08;89_58_8;PLETISMOGRAFIA DI UN ARTO ;Allegato 1;
08;89_59_1;TEST CARDIOVASCOLARI PER VALUTAZIONE DI NEUROPATIA AUTONOMICA ;Allegato 1;
08;89_61_1;MONITORAGGIO CONTINUO [24 Ore] DELLA PRESSIONE ARTERIOSA ;Allegato 1;
08;89_62;MONITORAGGIO DELLA PRESSIONE VENOSA CENTRALE ;Allegato 1;
08;89_7;VISITA GENERALE Visita specialistica_Prima visita;Allegato 1;
08;99_29_2;INIEZIONE PERIARTERIOSA ;Allegato 1;
09;06_01;ASPIRAZIONE NELLA REGIONE TIROIDEA Drenaggio eco guidato percutaneo della regione tiroidea Alcolizzazione noduli tiroidei;Allegato 1;
09;06_11_1;BIOPSIA [PERCUTANEA] [AGOBIOPSIA] DELLA TIROIDE Biopsia di materiale agoaspirato della tiroide;Allegato 1;
09;06_11_2;BIOPSIA [PERCUTANEA] [AGOBIOPSIA] DELLA TIROIDE Biopsia eco guidata di materiale agoaspirato della tiroide;Allegato 1;
09;06_13;BIOPSIA DELLE PARATIROIDI ;Allegato 1;
09;34_24;BIOPSIA DELLA PLEURA Biopsia con ago sottile;Allegato 1;
09;34_91;TORACENTESI ;Allegato 1;
09;34_91_1;TORACENTESI TC guidata;Allegato 1;
09;40_11;BIOPSIA DI STRUTTURE LINFATICHE Biopsia di linfonodi cervicali_sopraclaveari o prescalenici Biopsia di linfonodi ascellari;Allegato 1;
09;40_19_1;AGOBIOPSIA ECO GUIDATA DI SEDI PROFONDE (escluso il fegato);Allegato 1;
09;40_19_2;AGOBIOPSIA TC GUIDATA DI SEDI PROFONDE (escluso il torace);Allegato 1;
09;41_31;BIOPSIA [AGOBIOPSIA] DEL MIDOLLO OSSEO ;Allegato 1;
09;48_35;Asportazione locale di lesione o tessuto del retto Escluso: Asportazione di tessuto perirettale_ Emorroidectomia (49_46)_Fistolectomia rettale;Allegato 1;
09;49_01;INCISIONE DI ASCESSO PERIANALE ;Allegato 1;
09;49_02;ALTRA INCISIONE DI TESSUTI PERIANALI Undercutting di tessuto perianale Escluso: Fistulotomia anale (49_11);Allegato 1;
09;49_11;FISTULOTOMIA ANALE Extrasfinterica;Allegato 1;
09;49_23;BIOPSIA DELL ANO ;Allegato 1;
09;49_31;ASPORTAZIONE ENDOSCOPICA O DEMOLIZIONE DI LESIONE O TESSUTO DELL ANO Escissione di papilla anale ipertrofica;Allegato 1;
09;49_39;ALTRA ASPORTAZIONE O DEMOLIZIONE LOCALE DI LESIONE O TESSUTO DELL ANO Asportazione o demolizione di ragadi anali Escluso: Asportazione o demolizione per via endoscopica (49_31);Allegato 1;
09;49_42;INIEZIONI DELLE EMORROIDI ;Allegato 1;
09;49_45;LEGATURA DELLE EMORROIDI ;Allegato 1;
09;49_46;ASPORTAZIONE DELLE EMORROIDI Emorroidectomia NAS;Allegato 1;
09;49_47;RIMOZIONE DI EMORROIDI TROMBIZZATE ;Allegato 1;
09;49_59;SFINTEROTOMIA ANALE Divisione di sfintere NAS (interna);Allegato 1;
09;50_11;BIOPSIA [PERCUTANEA][AGOBIOPSIA] DEL FEGATO Aspirazione diagnostica del fegato;Allegato 1;
09;50_19_1;BIOPSIA [PERCUTANEA][AGOBIOPSIA] DEL FEGATO Aspirazione diagnostica eco guidata;Allegato 1;
09;50_91;ALCOLIZZAZIoNE PERCUTANEA DEL FEGATO Alcolizzazione percutanea di lesione/i nodulare/i profonda/e con guida strumentale eco o TC;Allegato 1;
09;54_22;BIOPSIA DELLA PARETE ADDOMINALE O DELL OMBELICO ;Allegato 1;
09;54_24;BIOPSIA [PERCUTANEA][AGOBIOPSIA] DI MASSA INTRAADDOMINALE Escluso: Agobiopsia di tube di Fallopio_ovaio (65_11)_peritoneo_legamenti dell utero_utero (68_16_1);Allegato 1;
09;54_91;DRENAGGIO PERCUTANEO ADDOMINALE Paracentesi (delle regioni superficiali) Escluso: Creazione di fistola cutaneoperitoneale (54_93);Allegato 1;
09;54_91_1;DRENAGGIO PERCUTANEO DI RACCOLTA FLUIDA (o cisti) PROFONDA Eco o TC guidata;Allegato 1;
09;83_09;ALTRA INCISIONE DEI TESSUTI MOLLI Incisione della fascia Incisione per rimozione di corpi estranei sotto controllo scopico Escluso: Incisione solo di cute e tessuto sottocutaneo (86_01 86_05);Allegato 1;
09;83_21;BIOPSIA DEI TESSUTI MOLLI Escluso: Biopsia della parete toracica_biopsia di cute e tessuto sottocutaneo (86_11);Allegato 1;
09;83_21_1;BIOPSIA ECO GUIDATA DEI TESSUTI MOLLI SUPERFICIALI;Allegato 1;
09;83_31;ASPORTAZIONE DI LESIONE DELLE FASCE TENDINEE Asportazione di ganglio di guaina tendinea_eccetto della mano;Allegato 1;
09;83_98;INIEZIONE DI SOSTANZE TERAPEUTICHE AD AZIONE LOCALE ALL INTERNO DI ALTRI TESSUTI MOLLI Escluso: Iniezioni sottocutanee o intramuscolari (99_25 99_29_9);Allegato 1;
09;85_0;MASTOTOMIA Incisione della mammella (cute) Mammotomia Escluso: Aspirazione della mammella_rimozione di protesi;Allegato 1;
09;85_11;BIOPSIA [PERCUTANEA][AGOBIOPSIA] DELLA MAMMELLA ;Allegato 1;
09;85_11_1;BIOPSIA ECO GUIDATA DELLA MAMMELLA Biopsia con ago sottile della mammella;Allegato 1;
09;85_20;ASPORTAZIONE O DEMOLIZIONE DI TESSUTO DELLA MAMMELLA_NAS Incisione di ascesso mammario;Allegato 1;
09;85_21;ASPORTAZIONE LOCALE DI LESIONE DELLA MAMMELLA Rimozione di area fibrosa dalla mammella Escluso: Biopsia della mammella (85_11);Allegato 1;
09;85_21_1;ASPIRAZIONE PERCUTANEA DI CISTI DELLA MAMMELLA Eco guidata;Allegato 1;
09;86_01;ASPIRAZIONE DELLA CUTE E DEL TESSUTO SOTTOCUTANEO Sulle unghie_sulla pelle o sul tessuto sottocutaneo aspirazione di: ascesso_ematoma_sieroma;Allegato 1;
09;86_02_1;SCLEROSI DI FISTOLA PILONIDALE ;Allegato 1;
09;86_03;INCISIONE DI CISTI O SENO PILONIDALE Escluso: Marsupializzazione;Allegato 1;
09;86_04;INCISIONE CON DRENAGGIO DELLA CUTE E DEL TESSUTO SOTTOCUTANEO Escluso: Drenaggio di compartimento fasciale del viso e bocca_spazio palmare o tenare_cisti o seno pilonidale (86_03);Allegato 1;
09;86_05_1;INCISIONE CON RIMOZIONE DI CORPO ESTRANEO DA CUTE E TESSUTO SOTTOCUTANEO Estrazione di corpo estraneo profondo Escluso: Rimozione di corpo estraneo senza incisione (98_20 98_29);Allegato 1;
09;86_11;BIOPSIA DELLA CUTE E DEL TESSUTO SOTTOCUTANEO ;Allegato 1;
09;86_22;RIMOZIONE ASPORTATIVA DI FERITA_INFEZIONE O USTIONE Rimozione per mezzo di asportazione di: tessuto devitalizzato_necrosi_ massa di tessuto necrotico Escluso: Sbrigliamento di: parete addominale (ferita)_ osso_muscolo_della mano_unghia (matr;Allegato 1;
09;86_23;RIMOZIONE DI UNGHIA_MATRICE UNGUEALE O PLICA UNGUEALE ;Allegato 1;
09;86_27;CURETTAGE DI UNGHIA_MATRICE UNGUEALE O PLICA UNGUEALE Rimozione di: necrosi_massa di tessuto necrotico Escluso: Rimozione di unghia_matrice ungueale o plica ungueale (86_23);Allegato 1;
09;86_28;RIMOZIONE NON ASPORTATIVA DI FERITA_INFEZIONE O USTIONE Rimozione NAS Rimozione di tessuto devitalizzato_necrosi e massa necrotica mediante metodi come: brushing_irrigazione (sotto pressione)_washing_scrubbing (Per seduta);Allegato 1;
09;86_81;RIPARAZIONE DI DIFETTI DEL VISO ;Allegato 1;
09;89_01;ANAMNESI E VALUTAZIONE DEFINITE BREVI Storia e valutazione abbreviata_visita successiva alla prima;Allegato 1;
09;89_7;VISITA GENERALE Visita specialistica_Prima visita;Allegato 1;
09;96_22;DILATAZIONE DEL RETTO ;Allegato 1;
09;96_23;DILATAZIONE DELLO SFINTERE ANALE ;Allegato 1;
09;96_26;RIDUZIONE MANUALE DI PROLASSO RETTALE ;Allegato 1;
09;96_27;RIDUZIONE MANUALE DI ERNIA ;Allegato 1;
09;98_18;RIMOZIONE DI CORPO ESTRANEO INTRALUMINALE DA STOMA ARTIFICIALE_ SENZA INCISIONE ;Allegato 1;
09;98_20;RIMOZIONE DI CORPO ESTRANEO_NAS ;Allegato 1;
09;98_22;RIMOZIONE DI CORPO ESTRANEO SUPERFICIALE DA TESTA E COLLO_SENZA INCISIONE Rimozione di corpo estraneo incluso da palpebra o congiuntiva senza incisione;Allegato 1;
09;98_25;RIMOZIONE DI ALTRO CORPO ESTRANEO DAL TRONCO ECCETTO SCROTO_PENE E VULVA_SENZA INCISIONE ;Allegato 1;
09;98_26;RIMOZIONE DI CORPO ESTRANEO DALLA MANO_SENZA INCISIONE ;Allegato 1;
09;98_27;RIMOZIONE DI CORPO ESTRANEO DALL ARTO SUPERIORE ECCETTO LA MANO_ SENZA INCISIONE ;Allegato 1;
09;98_28;RIMOZIONE DI CORPO ESTRANEO DAL PIEDE_SENZA INCISIONE ;Allegato 1;
09;98_29;RIMOZIONE DI CORPO ESTRANEO DALL ARTO INFERIORE ECCETTO IL PIEDE_ SENZA INCISIONE ;Allegato 1;
10;89_01;ANAMNESI E VALUTAZIONE DEFINITE BREVI Storia e valutazione abbreviata_visita successiva alla prima;Allegato 1;
10;89_7;VISITA GENERALE Visita specialistica_Prima visita;Allegato 1;
12;86_02_2;INFILTRAZIONE DI CHELOIDE ;Allegato 1;
12;86_22;RIMOZIONE ASPORTATIVA DI FERITA_INFEZIONE O USTIONE Rimozione per mezzo di asportazione di: tessuto devitalizzato_necrosi_ massa di tessuto necrotico Escluso: Sbrigliamento di: parete addominale (ferita)_ osso_muscolo_della mano_unghia (matr;Allegato 1;
12;86_24;CHEMIOCHIRURGIA DELLA CUTE Peeling chimico della cute;Allegato 1;
12;86_25;DERMOABRASIONE Quella con laser (o mezzo meccanico) (Per seduta) Escluso: Dermoabrasione di ferita per rimozione di frammenti inclusi (86_28);Allegato 1;
12;86_4;ASPORTAZIONE RADICALE DI LESIONE DELLA CUTE Asportazione larga di lesione della cute coinvolgente le strutture sottostanti o adiacenti;Allegato 1;
12;86_59_1;SUTURA ESTETICA DI FERITA DEL VOLTO ;Allegato 1;
12;86_59_2;SUTURA ESTETICA DI FERITA IN ALTRI DISTRETTI DEL CORPO Di piccole dimensioni (fino a 5 cm);Allegato 1;
12;86_59_3;ALTRA SUTURA ESTETICA DI FERITA IN ALTRI DISTRETTI DEL CORPO ;Allegato 1;
12;86_60;INNESTO CUTANEO_NAS Escluso: Costruzione o ricostruzione di pene_trachea_vagina;Allegato 1;
12;86_61;INNESTO DI CUTE A PIENO SPESSORE NELLA MANO Escluso: Innesto eterologo_innesto omologo;Allegato 1;
12;86_61_A;Impianto sottocute di materiale riassorbibile o non riassorbibile in pazienti in trattamento antiretrovirale;Allegato 1;
12;86_62;ALTRO INNESTO DI CUTE NELLA MANO Escluso: Innesto eterologo_innesto omologo;Allegato 1;
12;86_71;ALLESTIMENTO E PREPARAZIONE DI LEMBI PEDUNCOLATI Allestimento di lembo dal suo letto (autonomizzazione) Taglio parziale di peduncolo o lembo Sezione di peduncolo di lembo;Allegato 1;
12;86_72;AVANZAMENTO DI LEMBO PEDUNCOLATO ;Allegato 1;
12;86_73;TRASFERIMENTO DI LEMBO PEDUNCOLATO SULLA MANO Escluso: Ricostruzione del pollice o trasferimento di dita;Allegato 1;
12;86_74;TRASFERIMENTO DI LEMBO PEDUNCOLATO IN ALTRE SEDI Trasferimento di: lembo di avanzamento_lembo doppiamente peduncolato_ lembo di rotazione_lembo di scorrimento_lembo a tubo;Allegato 1;
12;86_75;REVISIONE DI LEMBO PEDUNCOLATO Sbrigliamento di innesto peduncolato o a lembo Liberazione di tessuto adiposo di innesto peduncolato o a lembo (Assottigliamento di innesto peduncolato o a lembo);Allegato 1;
12;86_84;"CORREZIONE DI CICATRICE O BRIGLIA RETRATTILE DELLA CUTE Plastica a ""Z"" della cute della mano e delle dita della mano";Allegato 1;
12;89_01;ANAMNESI E VALUTAZIONE DEFINITE BREVI Storia e valutazione abbreviata_visita successiva alla prima;Allegato 1;
12;89_7;VISITA GENERALE Visita specialistica_Prima visita;Allegato 1;
12;93_57_1;MEDICAZIONE DI USTIONI ;Allegato 1;
13;89_01;ANAMNESI E VALUTAZIONE DEFINITE BREVI Storia e valutazione abbreviata_visita successiva alla prima;Allegato 1;
13;89_7;VISITA GENERALE Visita specialistica_Prima visita;Allegato 1;
14;38_22;ANGIOSCOPIA PERCUTANEA Capillaroscopia Escluso: Angioscopia dell occhio (95_12);Allegato 1;
14;38_22_1;CAPILLAROSCOPIA CON VIDEOREGISTRAZIONE Escluso: Angioscopia dell occhio (95_12);Allegato 1;
14;38_59_1;MINISTRIPPING DI VENE VARICOSE DELL ARTO INFERIORE Stripping delle collaterali;Allegato 1;
14;38_98;PUNTURA DI ARTERIA Iniezione endoarteriosa Escluso: Puntura per arteriografia coronarica_Arteriografia (88_42_1 88_48);Allegato 1;
14;39_92;INIEZIONE INTRAVENOSA DI SOSTANZE SCLEROSANTI Escluso: Iniezioni per varici esofagee_emorroidi (49_42);Allegato 1;
14;88_71_2;STUDIO DOPPLER TRANSCRANICO Con analisi spettrale dopo prova fisica o farmacologica;Allegato 1;
14;88_71_3;COLOR DOPPLER TRANSCRANICO ;Allegato 1;
14;88_73_5;ECO(COLOR) DOPPLER DEI TRONCHI SOVRAORTICI A riposo o dopo prova fisica o farmacologica;Allegato 1;
14;88_76_2;ECOGRAFIA DI GROSSI VASI ADDOMINALI Aorta addominale_grossi vasi addominali e linfonodi paravasali;Allegato 1;
14;88_77_1;ECOGRAFIA DEGLI ARTI SUPERIORI O INFERIORI O DISTRETTUALE_ARTERIOSA O VENOSA A riposo o dopo prova fisica o farmacologica;Allegato 1;
14;88_77_2;ECO(COLOR) DOPPLERGRAFIA DEGLI ARTI SUPERIORI O INFERIORI O DISTRETTUALE_ARTERIOSA O VENOSA A riposo o dopo prova fisica o farmacologica;Allegato 1;
14;88_77_3;(LASER)DOPPLERGRAFIA DEGLI ARTI SUPERIORI O INFERIORI ;Allegato 1;
14;89_01;ANAMNESI E VALUTAZIONE DEFINITE BREVI Storia e valutazione abbreviata_visita successiva alla prima;Allegato 1;
14;89_58_1;FOTOPLETISMOGRAFIA DEGLI ARTI SUPERIORI O INFERIORI A riposo o dopo prova fisica o farmacologica;Allegato 1;
14;89_58_2;FOTOPLETISMOGRAFIA DEGLI ARTI SUPERIORI E INFERIORI A riposo o dopo prova fisica o farmacologica;Allegato 1;
14;89_58_3;FOTOPLETISMOGRAFIA DI ALTRI DISTRETTI A riposo o dopo prova fisica o farmacologica o durante blocco anestetico;Allegato 1;
14;89_58_4;PLETISMOGRAFIA AD OCCLUSIONE VENOSA DEGLI ARTI SUPERIORI O INFERIORI A riposo o dopo prova fisica o farmacologica Escluso: Pletismografia di un arto (89_58_8);Allegato 1;
14;89_58_5;PLETISMOGRAFIA AD OCCLUSIONE VENOSA DEGLI ARTI SUPERIORI E INFERIORI A riposo o dopo prova fisica o farmacologica Escluso: Pletismografia di un arto (89_58_8);Allegato 1;
14;89_58_6;PLETISMOGRAFIA PENIENA A riposo o dopo prova fisica o farmacologica;Allegato 1;
14;89_58_7;PLETISMOGRAFIA DI ALTRI DISTRETTI A riposo o dopo prova fisica o farmacologica o durante blocco anestetico;Allegato 1;
14;89_58_8;PLETISMOGRAFIA DI UN ARTO ;Allegato 1;
14;89_62;MONITORAGGIO DELLA PRESSIONE VENOSA CENTRALE ;Allegato 1;
14;89_7;VISITA GENERALE Visita specialistica_Prima visita;Allegato 1;
14;99_29_2;INIEZIONE PERIARTERIOSA ;Allegato 1;
18;89_01;ANAMNESI E VALUTAZIONE DEFINITE BREVI Storia e valutazione abbreviata_visita successiva alla prima;Allegato 1;
18;89_7;VISITA GENERALE Visita specialistica_Prima visita;Allegato 1;
19;06_11_1;BIOPSIA [PERCUTANEA] [AGOBIOPSIA] DELLA TIROIDE Biopsia di materiale agoaspirato della tiroide;Allegato 1;
19;06_11_2;BIOPSIA [PERCUTANEA] [AGOBIOPSIA] DELLA TIROIDE Biopsia eco guidata di materiale agoaspirato della tiroide;Allegato 1;
19;88_71_4;DIAGNOSTICA ECOGRAFICA DEL CAPO E DEL COLLO Ecografia di: ghiandole salivari_collo per linfonodi_tiroide paratiroidi;Allegato 1;
19;89_01;ANAMNESI E VALUTAZIONE DEFINITE BREVI Storia e valutazione abbreviata_visita successiva alla prima;Allegato 1;
19;89_7;VISITA GENERALE Visita specialistica_Prima visita;Allegato 1;
20;89_01;ANAMNESI E VALUTAZIONE DEFINITE BREVI Storia e valutazione abbreviata_visita successiva alla prima;Allegato 1;
20;89_7;VISITA GENERALE Visita specialistica_Prima visita;Allegato 1;
21;89_01;ANAMNESI E VALUTAZIONE DEFINITE BREVI Storia e valutazione abbreviata_visita successiva alla prima;Allegato 1;
21;89_7;VISITA GENERALE Visita specialistica_Prima visita;Allegato 1;
24;89_01;ANAMNESI E VALUTAZIONE DEFINITE BREVI Storia e valutazione abbreviata_visita successiva alla prima;Allegato 1;
24;89_7;VISITA GENERALE Visita specialistica_Prima visita;Allegato 1;
26;89_01;ANAMNESI E VALUTAZIONE DEFINITE BREVI Storia e valutazione abbreviata_visita successiva alla prima;Allegato 1;
26;89_7;VISITA GENERALE Visita specialistica_Prima visita;Allegato 1;
29;38_95;CATETERISMO VENOSO PER DIALISI RENALE Singolo o doppio;Allegato 1;
29;39_95_A;EMODIALISI IN BICARBONATO E MEMBRANE MOLTO BIOCOMPATIBILI ad assistenza limitata;Allegato 1;
29;39_95_B;EMODIALISI IN BICARBONATO E MEMBRANE MOLTO BIOCOMPATIBILI in assistenza domiciliare;Allegato 1;
29;39_95_C;ALTRA EMODIAFILTRAZIONE Con membrane a permeabilita elevata e molto biocompatibili ad assistenza limitata;Allegato 1;
29;39_95_D;EMOFILTRAZIONE ad assistenza limitata;Allegato 1;
29;39_95_1;EMODIALISI IN ACETATO O IN BICARBONATO;Allegato 1;
29;39_95_2;EMODIALISI IN ACETATO O IN BICARBONATO_AD ASSISTENZA LIMITATA;Allegato 1;
29;39_95_3;EMODIALISI IN ACETATO O IN BICARBONATO_DOMICILIARE;Allegato 1;
29;39_95_4;EMODIALISI IN BICARBONATO E MEMBRANE MOLTO BIOCOMPATIBILI;Allegato 1;
29;39_95_5;EMODIAFILTRAZIONE Biofiltrazione senza acetato Biofiltrazione Emodiafiltrazione con membrana a permeabilità elevata;Allegato 1;
29;39_95_6;EMODIAFILTRAZIONE AD ASSISTENZA LIMITATA Biofiltrazione senza acetato Biofiltrazione Emodiafiltrazione con membrana a permeabilità elevata;Allegato 1;
29;39_95_7;ALTRA EMODIAFILTRAZIONE Con membrane a permeabilita elevata e molto biocompatibili_;Allegato 1;
29;39_95_8;EMOFILTRAZIONE;Allegato 1;
29;39_95_9;EMODIALISI EMOFILTRAZIONE Tecnica mista;Allegato 1;
29;39_99_1;VALUTAZIONE DEL RICIRCOLO DI FISTOLA ARTEROVENOSA;Allegato 1;
29;54_93;CREAZIONE DI FISTOLA CUTANEOPERITONEALE Inserzione di catetere permanente per dialisi;Allegato 1;
29;54_98_1;DIALISI PERITONEALE AUTOMATIZZATA (CCPD);Allegato 1;
29;54_98_2;DIALISI PERITONEALE CONTINUA (CAPD);Allegato 1;
29;54_98_3;DIALISI PERITONEALE AUTOMATIZZATA_DOMICILIARE_ APD;Allegato 1;
29;54_98_4;DIALISI PERITONEALE INTERMITTENTE IPD;Allegato 1;
29;54_98_5;DIALISI PERITONEALE;Allegato 1;
29;88_74_5;ECO(COLOR)DOPPLER DELLE ARTERIE RENALI;Allegato 1;
29;88_74_6;ECOGRAFIA RENO VESCICALE;Allegato 1;
29;89_01;ANAMNESI E VALUTAZIONE DEFINITE BREVI Storia e valutazione abbreviata_visita successiva alla prima;Allegato 1;
29;89_03;ANAMNESI E VALUTAZIONE DEFINITE COMPLESSIVE ;Allegato 1;
29;89_07;CONSULTO INTERDISCIPLINARE DEFINITO COMPLESSIVO;Allegato 1;
29;89_61_1;MONITORAGGIO CONTINUO [24 Ore] DELLA PRESSIONE ARTERIOSA ;Allegato 1;
29;89_7;VISITA GENERALE Visita specialistica_Prima visita;Allegato 1;
