CODDISCIPLINA;COD_PRESTAZIONE;DESCR_PRESTAZIONE;ELENCO DI ORIGINE;NOTE
08;89.58.5;PLETISMOGRAFIA AD OCCLUSIONE VENOSA DEGLI ARTI SUPERIORI E INFERIORI - A riposo o dopo prova fisica o farmacologica  Escluso: Pletismografia di un arto (89.58.8);Allegato 1;
08;89.58.6;PLETISMOGRAFIA PENIENA - A riposo o dopo prova fisica o farmacologica;Allegato 1;
08;89.58.7;PLETISMOGRAFIA DI ALTRI DISTRETTI  - A riposo o dopo prova fisica o farmacologica o durante blocco anestetico;Allegato 1;
08;89.58.8;PLETISMOGRAFIA DI UN ARTO -;Allegato 1;
08;89.59.1;TEST  CARDIOVASCOLARI PER VALUTAZIONE DI NEUROPATIA AUTONOMICA -;Allegato 1;
08;89.61.1;MONITORAGGIO CONTINUO [24 Ore] DELLA PRESSIONE ARTERIOSA  -;Allegato 1;
08;89.62;MONITORAGGIO DELLA PRESSIONE VENOSA CENTRALE -;Allegato 1;
08;89.7;VISITA GENERALE                                                                                       Visita specialistica, Prima visita;Allegato 1;
08;99.29.2;INIEZIONE PERIARTERIOSA -;Allegato 1;
09;06.01;ASPIRAZIONE NELLA REGIONE TIROIDEA  Drenaggio eco-guidato percutaneo  della regione tiroidea  Alcolizzazione noduli tiroidei;Allegato 1;
09;06.11.1;BIOPSIA [PERCUTANEA] [AGOBIOPSIA] DELLA TIROIDE - Biopsia di materiale agoaspirato della tiroide;Allegato 1;
09;06.11.2;BIOPSIA [PERCUTANEA] [AGOBIOPSIA] DELLA TIROIDE  Biopsia eco-guidata di materiale agoaspirato della tiroide;Allegato 1;
09;06.13;BIOPSIA DELLE PARATIROIDI -;Allegato 1;
09;34.24;BIOPSIA DELLA PLEURA - Biopsia con ago sottile;Allegato 1;
09;34.91;TORACENTESI -;Allegato 1;
09;34.91.1;TORACENTESI  TC-guidata;Allegato 1;
09;40.11;BIOPSIA DI STRUTTURE LINFATICHE - Biopsia di linfonodi cervicali, sopraclaveari o prescalenici  Biopsia di linfonodi ascellari;Allegato 1;
09;40.19.1;AGOBIOPSIA ECO-GUIDATA DI SEDI PROFONDE (escluso il fegato);Allegato 1;
09;40.19.2;AGOBIOPSIA TC-GUIDATA DI SEDI PROFONDE (escluso il torace);Allegato 1;
09;41.31;BIOPSIA [AGOBIOPSIA] DEL MIDOLLO OSSEO -;Allegato 1;
09;48.35;Asportazione locale di lesione o tessuto del retto - Escluso: Asportazione di tessuto perirettale,  Emorroidectomia (49.46), Fistolectomia rettale;Allegato 1;
09;49.01;INCISIONE DI ASCESSO PERIANALE -;Allegato 1;
09;49.02;ALTRA INCISIONE DI TESSUTI PERIANALI - Undercutting di tessuto perianale  Escluso: Fistulotomia anale (49.11);Allegato 1;
09;49.11;FISTULOTOMIA ANALE - Extrasfinterica;Allegato 1;
09;49.23;BIOPSIA DELL' ANO -;Allegato 1;
09;49.31;ASPORTAZIONE ENDOSCOPICA O DEMOLIZIONE DI LESIONE O TESSUTO DELL'ANO - Escissione di papilla anale ipertrofica;Allegato 1;
09;49.39;ALTRA ASPORTAZIONE O DEMOLIZIONE LOCALE DI LESIONE O TESSUTO DELL'ANO - Asportazione o demolizione di ragadi anali     Escluso: Asportazione o demolizione per via endoscopica (49.31);Allegato 1;
09;49.42;INIEZIONI DELLE EMORROIDI -;Allegato 1;
09;49.45;LEGATURA DELLE EMORROIDI -;Allegato 1;
09;49.46;ASPORTAZIONE DELLE EMORROIDI - Emorroidectomia NAS;Allegato 1;
09;49.47;RIMOZIONE DI EMORROIDI TROMBIZZATE -;Allegato 1;
09;49.59;SFINTEROTOMIA   ANALE - Divisione di sfintere NAS (interna);Allegato 1;
09;50.11;BIOPSIA [PERCUTANEA][AGOBIOPSIA] DEL FEGATO  Aspirazione diagnostica del fegato;Allegato 1;
09;50.19.1;BIOPSIA [PERCUTANEA][AGOBIOPSIA] DEL FEGATO Aspirazione diagnostica eco-guidata;Allegato 1;
09;50.91;ALCOLIZZAZIoNE PERCUTANEA DEL FEGATO  Alcolizzazione percutanea  di lesione/i nodulare/i profonda/e con guida strumentale eco o TC;Allegato 1;
09;54.22;BIOPSIA DELLA PARETE ADDOMINALE O DELL' OMBELICO -;Allegato 1;
09;54.24;BIOPSIA [PERCUTANEA][AGOBIOPSIA] DI MASSA INTRAADDOMINALE - Escluso: Agobiopsia di tube di Fallopio, ovaio (65.11), peritoneo, legamenti dell' utero, utero (68.16.1);Allegato 1;
09;54.91;DRENAGGIO PERCUTANEO ADDOMINALE - Paracentesi (delle regioni superficiali)  Escluso: Creazione di fistola cutaneoperitoneale (54.93);Allegato 1;
09;54.91.1;DRENAGGIO PERCUTANEO DI RACCOLTA FLUIDA (o cisti) PROFONDA Eco o TC guidata;Allegato 1;
09;83.09;ALTRA INCISIONE DEI TESSUTI MOLLI - Incisione della fascia  Incisione per rimozione di corpi estranei sotto controllo scopico  Escluso: Incisione solo di cute e tessuto sottocutaneo (86.01-86.05);Allegato 1;
09;83.21;BIOPSIA DEI TESSUTI MOLLI - Escluso: Biopsia della parete toracica, biopsia di cute e tessuto sottocutaneo (86.11);Allegato 1;
09;83.21.1;BIOPSIA ECO-GUIDATA DEI TESSUTI MOLLI SUPERFICIALI;Allegato 1;
09;83.31;ASPORTAZIONE DI LESIONE DELLE FASCE TENDINEE - Asportazione di ganglio di guaina tendinea, eccetto della mano;Allegato 1;
09;83.98;INIEZIONE DI SOSTANZE TERAPEUTICHE AD AZIONE LOCALE ALL' INTERNO DI ALTRI TESSUTI MOLLI - Escluso: Iniezioni sottocutanee o intramuscolari (99.25-99.29.9);Allegato 1;
09;85.0;MASTOTOMIA - Incisione della mammella (cute)  Mammotomia  Escluso: Aspirazione della mammella, rimozione di protesi;Allegato 1;
09;85.11;BIOPSIA [PERCUTANEA][AGOBIOPSIA] DELLA MAMMELLA -;Allegato 1;
09;85.11.1;BIOPSIA ECO-GUIDATA DELLA MAMMELLA                                          Biopsia con ago sottile della mammella;Allegato 1;
09;85.20;ASPORTAZIONE O DEMOLIZIONE DI TESSUTO DELLA MAMMELLA, NAS - Incisione di ascesso mammario;Allegato 1;
09;85.21;ASPORTAZIONE LOCALE DI LESIONE DELLA MAMMELLA - Rimozione di area fibrosa dalla mammella Escluso: Biopsia della mammella (85.11);Allegato 1;
09;85.21.1;ASPIRAZIONE PERCUTANEA DI CISTI DELLA MAMMELLA - Eco-guidata;Allegato 1;
09;86.01;ASPIRAZIONE DELLA CUTE E DEL TESSUTO SOTTOCUTANEO - Sulle unghie, sulla pelle o sul tessuto sottocutaneo  aspirazione di: ascesso, ematoma, sieroma;Allegato 1;
09;86.02.1;SCLEROSI DI FISTOLA PILONIDALE -;Allegato 1;
09;86.03;INCISIONE DI CISTI O SENO PILONIDALE - Escluso: Marsupializzazione;Allegato 1;
09;86.04;INCISIONE CON DRENAGGIO DELLA CUTE E DEL TESSUTO SOTTOCUTANEO - Escluso: Drenaggio di compartimento fasciale del viso e bocca, spazio palmare o tenare, cisti o seno pilonidale (86.03);Allegato 1;
09;86.05.1;INCISIONE CON RIMOZIONE DI CORPO ESTRANEO DA CUTE E TESSUTO SOTTOCUTANEO  - Estrazione di corpo estraneo profondo  Escluso: Rimozione di corpo estraneo senza incisione (98.20-98.29);Allegato 1;
09;86.11;BIOPSIA DELLA CUTE E DEL TESSUTO SOTTOCUTANEO -;Allegato 1;
09;86.22;RIMOZIONE ASPORTATIVA DI FERITA, INFEZIONE O USTIONE  - Rimozione per mezzo di asportazione di: tessuto devitalizzato, necrosi,  massa di tessuto necrotico  -  Escluso: Sbrigliamento di: parete addominale (ferita),  osso, muscolo, della mano, unghia (matr;Allegato 1;
09;86.23;RIMOZIONE DI UNGHIA, MATRICE UNGUEALE O PLICA UNGUEALE -;Allegato 1;
09;86.27;CURETTAGE DI UNGHIA, MATRICE UNGUEALE O PLICA UNGUEALE - Rimozione di: necrosi, massa di tessuto necrotico  Escluso: Rimozione di unghia, matrice ungueale o plica ungueale (86.23);Allegato 1;
09;86.28;RIMOZIONE NON ASPORTATIVA DI FERITA, INFEZIONE O USTIONE - Rimozione NAS  Rimozione di tessuto devitalizzato, necrosi e massa necrotica mediante metodi come: brushing, irrigazione (sotto pressione), washing, scrubbing  (Per seduta);Allegato 1;
09;86.81;RIPARAZIONE DI DIFETTI DEL VISO -;Allegato 1;
09;89.01;ANAMNESI E VALUTAZIONE DEFINITE BREVI                             Storia e valutazione  abbreviata, visita successiva alla prima;Allegato 1;
09;89.7;VISITA GENERALE                                                                                       Visita specialistica, Prima visita;Allegato 1;
09;96.22;DILATAZIONE DEL RETTO -;Allegato 1;
09;96.23;DILATAZIONE DELLO SFINTERE ANALE -;Allegato 1;
09;96.26;RIDUZIONE MANUALE DI PROLASSO RETTALE -;Allegato 1;
09;96.27;RIDUZIONE MANUALE DI ERNIA -;Allegato 1;
09;98.18;RIMOZIONE DI CORPO ESTRANEO INTRALUMINALE DA STOMA ARTIFICIALE,  SENZA INCISIONE -;Allegato 1;
09;98.20;RIMOZIONE DI CORPO ESTRANEO, NAS -;Allegato 1;
09;98.22;RIMOZIONE DI CORPO ESTRANEO SUPERFICIALE DA TESTA E COLLO,SENZA INCISIONE - Rimozione di corpo estraneo incluso da palpebra o congiuntiva senza incisione;Allegato 1;
09;98.25;RIMOZIONE DI ALTRO CORPO ESTRANEO DAL TRONCO ECCETTO  SCROTO, PENE E VULVA, SENZA INCISIONE -;Allegato 1;
09;98.26;RIMOZIONE DI CORPO ESTRANEO DALLA MANO, SENZA INCISIONE -;Allegato 1;
09;98.27;RIMOZIONE DI CORPO ESTRANEO DALL'ARTO SUPERIORE ECCETTO LA MANO,  SENZA INCISIONE -;Allegato 1;
09;98.28;RIMOZIONE DI CORPO ESTRANEO DAL PIEDE, SENZA INCISIONE -;Allegato 1;
09;98.29;RIMOZIONE DI CORPO ESTRANEO DALL'ARTO INFERIORE ECCETTO IL PIEDE,  SENZA INCISIONE -;Allegato 1;
10;89.01;ANAMNESI E VALUTAZIONE DEFINITE BREVI                             Storia e valutazione  abbreviata, visita successiva alla prima;Allegato 1;
10;89.7;VISITA GENERALE                                                                                       Visita specialistica, Prima visita;Allegato 1;
12;86.02.2;INFILTRAZIONE DI CHELOIDE -;Allegato 1;
12;86.22;RIMOZIONE ASPORTATIVA DI FERITA, INFEZIONE O USTIONE  - Rimozione per mezzo di asportazione di: tessuto devitalizzato, necrosi,  massa di tessuto necrotico  -  Escluso: Sbrigliamento di: parete addominale (ferita),  osso, muscolo, della mano, unghia (matr;Allegato 1;
12;86.24;CHEMIOCHIRURGIA DELLA CUTE - Peeling chimico della cute;Allegato 1;
12;86.25;DERMOABRASIONE - Quella con laser (o mezzo meccanico) (Per seduta)  Escluso: Dermoabrasione di ferita per rimozione di frammenti inclusi (86.28);Allegato 1;
12;86.4;ASPORTAZIONE RADICALE DI LESIONE DELLA CUTE - Asportazione larga di lesione della cute coinvolgente le strutture sottostanti o adiacenti;Allegato 1;
12;86.59.1;SUTURA ESTETICA DI FERITA DEL VOLTO -;Allegato 1;
12;86.59.2;SUTURA ESTETICA DI FERITA IN ALTRI DISTRETTI DEL CORPO - Di piccole dimensioni (fino a 5 cm);Allegato 1;
12;86.59.3;ALTRA SUTURA ESTETICA DI FERITA IN ALTRI DISTRETTI DEL CORPO -;Allegato 1;
12;86.60;INNESTO CUTANEO, NAS - Escluso: Costruzione o ricostruzione di pene, trachea, vagina;Allegato 1;
12;86.61;INNESTO DI CUTE A PIENO SPESSORE NELLA MANO - Escluso: Innesto eterologo, innesto omologo;Allegato 1;
12;86.61.A;Impianto sottocute di materiale riassorbibile o non riassorbibile in pazienti in trattamento antiretrovirale;Allegato 1;
12;86.62;ALTRO INNESTO DI CUTE NELLA MANO - Escluso: Innesto eterologo, innesto omologo;Allegato 1;
12;86.71;ALLESTIMENTO E PREPARAZIONE DI LEMBI PEDUNCOLATI - Allestimento di lembo dal suo letto (autonomizzazione)  Taglio parziale di peduncolo o lembo  Sezione di peduncolo di lembo;Allegato 1;
12;86.72;AVANZAMENTO DI LEMBO PEDUNCOLATO -;Allegato 1;
12;86.73;TRASFERIMENTO DI LEMBO PEDUNCOLATO SULLA MANO - Escluso: Ricostruzione del pollice o trasferimento di dita;Allegato 1;
12;86.74;TRASFERIMENTO DI LEMBO PEDUNCOLATO IN ALTRE SEDI - Trasferimento di: lembo di avanzamento, lembo doppiamente peduncolato,  lembo di rotazione, lembo di scorrimento, lembo a tubo;Allegato 1;
12;86.75;REVISIONE DI LEMBO PEDUNCOLATO - Sbrigliamento di innesto peduncolato o a lembo  Liberazione di tessuto adiposo di innesto peduncolato o a lembo  (Assottigliamento di innesto peduncolato o a lembo);Allegato 1;
12;86.84;"CORREZIONE DI CICATRICE O BRIGLIA RETRATTILE DELLA CUTE - Plastica a ""Z"" della cute della mano e delle dita della mano";Allegato 1;
12;89.01;ANAMNESI E VALUTAZIONE DEFINITE BREVI                             Storia e valutazione  abbreviata, visita successiva alla prima;Allegato 1;
12;89.7;VISITA GENERALE                                                                                       Visita specialistica, Prima visita;Allegato 1;
12;93.57.1;MEDICAZIONE DI USTIONI   -;Allegato 1;
13;89.01;ANAMNESI E VALUTAZIONE DEFINITE BREVI                             Storia e valutazione  abbreviata, visita successiva alla prima;Allegato 1;
13;89.7;VISITA GENERALE                                                                                       Visita specialistica, Prima visita;Allegato 1;
14;38.22;ANGIOSCOPIA PERCUTANEA - Capillaroscopia - Escluso: Angioscopia dell' occhio (95.12);Allegato 1;
14;38.22.1;CAPILLAROSCOPIA CON VIDEOREGISTRAZIONE - Escluso: Angioscopia dell' occhio (95.12);Allegato 1;
14;38.59.1;MINISTRIPPING DI VENE VARICOSE DELL' ARTO INFERIORE - Stripping delle collaterali;Allegato 1;
14;38.98;PUNTURA DI ARTERIA - Iniezione endoarteriosa - Escluso: Puntura per arteriografia coronarica, Arteriografia (88.42.1-88.48);Allegato 1;
14;39.92;INIEZIONE INTRAVENOSA DI SOSTANZE SCLEROSANTI - Escluso: Iniezioni per varici esofagee, emorroidi (49.42);Allegato 1;
14;88.71.2;STUDIO DOPPLER TRANSCRANICO - Con analisi spettrale dopo prova fisica o farmacologica;Allegato 1;
14;88.71.3;COLOR DOPPLER TRANSCRANICO -;Allegato 1;
14;88.73.5;ECO(COLOR) DOPPLER DEI TRONCHI SOVRAORTICI                                               A riposo o dopo prova fisica o farmacologica;Allegato 1;
14;88.76.2;ECOGRAFIA DI GROSSI VASI ADDOMINALI - Aorta addominale, grossi vasi addominali e linfonodi paravasali;Allegato 1;
14;88.77.1;ECOGRAFIA DEGLI ARTI SUPERIORI O INFERIORI O DISTRETTUALE, ARTERIOSA  O VENOSA - A riposo o dopo prova fisica o farmacologica;Allegato 1;
14;88.77.2;ECO(COLOR) DOPPLERGRAFIA DEGLI ARTI SUPERIORI O INFERIORI O DISTRETTUALE, ARTERIOSA O VENOSA  A riposo o dopo prova fisica o farmacologica;Allegato 1;
14;88.77.3;(LASER)DOPPLERGRAFIA DEGLI ARTI SUPERIORI O INFERIORI -;Allegato 1;
14;89.01;ANAMNESI E VALUTAZIONE DEFINITE BREVI                             Storia e valutazione  abbreviata, visita successiva alla prima;Allegato 1;
14;89.58.1;FOTOPLETISMOGRAFIA DEGLI ARTI SUPERIORI O INFERIORI - A riposo o dopo prova fisica o farmacologica;Allegato 1;
14;89.58.2;FOTOPLETISMOGRAFIA DEGLI ARTI SUPERIORI E INFERIORI - A riposo o dopo prova fisica o farmacologica;Allegato 1;
14;89.58.3;FOTOPLETISMOGRAFIA DI ALTRI DISTRETTI  - A riposo o dopo prova fisica o farmacologica o durante blocco anestetico;Allegato 1;
14;89.58.4;PLETISMOGRAFIA AD OCCLUSIONE VENOSA DEGLI ARTI SUPERIORI O INFERIORI - A riposo o dopo prova fisica o farmacologica  Escluso: Pletismografia di un arto (89.58.8);Allegato 1;
14;89.58.5;PLETISMOGRAFIA AD OCCLUSIONE VENOSA DEGLI ARTI SUPERIORI E INFERIORI - A riposo o dopo prova fisica o farmacologica  Escluso: Pletismografia di un arto (89.58.8);Allegato 1;
14;89.58.6;PLETISMOGRAFIA PENIENA - A riposo o dopo prova fisica o farmacologica;Allegato 1;
14;89.58.7;PLETISMOGRAFIA DI ALTRI DISTRETTI  - A riposo o dopo prova fisica o farmacologica o durante blocco anestetico;Allegato 1;
14;89.58.8;PLETISMOGRAFIA DI UN ARTO -;Allegato 1;
14;89.62;MONITORAGGIO DELLA PRESSIONE VENOSA CENTRALE -;Allegato 1;
14;89.7;VISITA GENERALE                                                                                       Visita specialistica, Prima visita;Allegato 1;
14;99.29.2;INIEZIONE PERIARTERIOSA -;Allegato 1;
18;89.01;ANAMNESI E VALUTAZIONE DEFINITE BREVI                             Storia e valutazione  abbreviata, visita successiva alla prima;Allegato 1;
18;89.7;VISITA GENERALE                                                                                       Visita specialistica, Prima visita;Allegato 1;
19;06.11.1;BIOPSIA [PERCUTANEA] [AGOBIOPSIA] DELLA TIROIDE - Biopsia di materiale agoaspirato della tiroide;Allegato 1;
19;06.11.2;BIOPSIA [PERCUTANEA] [AGOBIOPSIA] DELLA TIROIDE  Biopsia eco-guidata di materiale agoaspirato della tiroide;Allegato 1;
19;88.71.4;DIAGNOSTICA ECOGRAFICA DEL CAPO E DEL COLLO Ecografia di: ghiandole salivari, collo per linfonodi, tiroide-paratiroidi;Allegato 1;
19;89.01;ANAMNESI E VALUTAZIONE DEFINITE BREVI                             Storia e valutazione  abbreviata, visita successiva alla prima;Allegato 1;
19;89.7;VISITA GENERALE                                                                                       Visita specialistica, Prima visita;Allegato 1;
20;89.01;ANAMNESI E VALUTAZIONE DEFINITE BREVI                             Storia e valutazione  abbreviata, visita successiva alla prima;Allegato 1;
20;89.7;VISITA GENERALE                                                                                       Visita specialistica, Prima visita;Allegato 1;
21;89.01;ANAMNESI E VALUTAZIONE DEFINITE BREVI                             Storia e valutazione  abbreviata, visita successiva alla prima;Allegato 1;
21;89.7;VISITA GENERALE                                                                                       Visita specialistica, Prima visita;Allegato 1;
24;89.01;ANAMNESI E VALUTAZIONE DEFINITE BREVI                             Storia e valutazione  abbreviata, visita successiva alla prima;Allegato 1;
24;89.7;VISITA GENERALE                                                                                       Visita specialistica, Prima visita;Allegato 1;
26;89.01;ANAMNESI E VALUTAZIONE DEFINITE BREVI                             Storia e valutazione  abbreviata, visita successiva alla prima;Allegato 1;
26;89.7;VISITA GENERALE                                                                                       Visita specialistica, Prima visita;Allegato 1;
29;38.95;CATETERISMO VENOSO PER DIALISI RENALE Singolo o doppio;Allegato 1;
29;39.95.A;EMODIALISI IN BICARBONATO E MEMBRANE MOLTO BIOCOMPATIBILI ad assistenza limitata;Allegato 1;
29;39.95.B;EMODIALISI IN BICARBONATO E MEMBRANE MOLTO BIOCOMPATIBILI in assistenza domiciliare;Allegato 1;
29;39.95.C;ALTRA EMODIAFILTRAZIONE                                                           Con membrane a permeabilita' elevata e molto biocompatibili ad assistenza limitata;Allegato 1;
29;39.95.D;EMOFILTRAZIONE ad assistenza limitata;Allegato 1;
29;39.95.1;EMODIALISI IN ACETATO O IN BICARBONATO;Allegato 1;
29;39.95.2;EMODIALISI IN ACETATO O IN BICARBONATO, AD ASSISTENZA LIMITATA;Allegato 1;
29;39.95.3;EMODIALISI IN ACETATO O IN BICARBONATO, DOMICILIARE;Allegato 1;
29;39.95.4;EMODIALISI IN BICARBONATO E MEMBRANE MOLTO BIOCOMPATIBILI;Allegato 1;
29;39.95.5;EMODIAFILTRAZIONE Biofiltrazione senza acetato Biofiltrazione Emodiafiltrazione con membrana a permeabilità elevata;Allegato 1;
29;39.95.6;EMODIAFILTRAZIONE AD ASSISTENZA LIMITATA Biofiltrazione senza acetato Biofiltrazione Emodiafiltrazione con membrana a permeabilità elevata;Allegato 1;
29;39.95.7;ALTRA EMODIAFILTRAZIONE                                                           Con membrane a permeabilita' elevata e molto biocompatibili.;Allegato 1;
29;39.95.8;EMOFILTRAZIONE;Allegato 1;
29;39.95.9;EMODIALISI - EMOFILTRAZIONE Tecnica mista;Allegato 1;
29;39.99.1;VALUTAZIONE DEL RICIRCOLO DI FISTOLA ARTEROVENOSA;Allegato 1;
29;54.93;CREAZIONE DI FISTOLA CUTANEOPERITONEALE Inserzione di catetere permanente per dialisi;Allegato 1;
29;54.98.1;DIALISI PERITONEALE AUTOMATIZZATA  (CCPD);Allegato 1;
29;54.98.2;DIALISI PERITONEALE CONTINUA (CAPD);Allegato 1;
29;54.98.3;DIALISI PERITONEALE AUTOMATIZZATA, DOMICILIARE,  APD;Allegato 1;
29;54.98.4;DIALISI PERITONEALE INTERMITTENTE IPD;Allegato 1;
29;54.98.5;DIALISI PERITONEALE;Allegato 1;
